name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Stockholm,Sweden",2022-07-01,24.9,19.7,21.2,24.9,19.7,21.2,18.8,86.4,14.275,100,29.17,rain,0,0,33.3,23.2,129,1014.8,76.8,11,121,10.3,5,10,2022-07-01T03:36:59,2022-07-01T22:05:40,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-02,23,18.1,20.7,23,18.1,20.7,15.3,73.5,1.561,100,8.33,rain,0,0,34.2,23.1,219.2,1014.8,58.8,13.8,172.8,14.7,6,10,2022-07-02T03:38:01,2022-07-02T22:04:57,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-03,23.8,15.3,19.8,23.8,15.3,19.8,10.2,55.6,0,0,0,,0,0,30.4,18,217.9,1018.9,35,13.4,239.5,20.8,7,10,2022-07-03T03:39:07,2022-07-03T22:04:10,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-04,21.1,16.5,18,21.1,16.5,18,13.9,77.6,3.798,100,37.5,rain,0,0,33.7,20.3,155.6,1013.3,59.2,13.2,146.7,12.8,5,10,2022-07-04T03:40:17,2022-07-04T22:03:18,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-05,20.8,14.5,17.2,20.8,14.5,17.2,10,64,0.181,100,12.5,rain,0,0,36.6,24.9,237.2,1011,57,14.4,208.6,18.2,6,10,2022-07-05T03:41:32,2022-07-05T22:02:21,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02443099999,E4931,02458099999,ESSB"
"Stockholm,Sweden",2022-07-06,21.9,13,17.2,21.9,13,17.2,10,63.8,4.742,100,16.67,rain,0,0,31.1,16.1,228,1010.5,42.5,14.9,235.3,20.4,8,10,2022-07-06T03:42:51,2022-07-06T22:01:20,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-07,16,12.8,14.1,16,12.8,14.1,10.7,81.1,10.846,100,54.17,rain,0,0,21.9,11.6,250.7,1010.7,78.4,11.9,86.1,7.4,2,10,2022-07-07T03:44:13,2022-07-07T22:00:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-08,20.1,12.6,16.7,20.1,12.6,16.7,11.9,74.2,1.508,100,8.33,rain,0,0,23.1,12.5,143.4,1016.1,58.6,12,189,16.4,7,10,2022-07-08T03:45:39,2022-07-08T21:59:04,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-09,22.5,15,17.9,22.5,15,17.9,9.4,59.7,0.3,100,8.33,rain,0,0,34.2,25.5,279,1009.8,61,15.9,221.8,19.1,8,10,2022-07-09T03:47:08,2022-07-09T21:57:50,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
"Stockholm,Sweden",2022-07-10,18,11.8,15,18,11.8,15,9.2,69.1,0.319,100,25,rain,0,0,28,20.8,306.2,1011.3,59.3,15.2,178.9,15.2,6,10,2022-07-10T03:48:41,2022-07-10T21:56:32,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
